"query"	"MpTak_v6.1"
"Mp1g03580"	"Mp1g03580"
"Mp1g03590"	"Mp1g03590"
"Mp1g03600"	"Mp1g03600"
"Mp1g03610"	"-"
"Mp1g03620"	"Mp1g03620"
"Mp1g03630"	"Mp1g03630"
"Mp1g03640"	"Mp1g03640"
"Mp1g03650"	"Mp1g03650"
"Mp1g03660"	"Mp1g03660"
"Mp1g03670"	"Mp1g03670"
"Mp1g03680"	"Mp1g03680"
"Mp1g03690"	"Mp1g03690"
"Mp1g03700"	"Mp1g03700"
"Mp1g03710"	"Mp1g03710"
"Mp1g03720"	"Mp1g03720"
"Mp1g03730"	"Mp1g03730"
"Mp1g03740"	"Mp1g03740"
"Mp1g03750"	"Mp1g03750"
"Mp1g03760"	"Mp1g03760"
"Mp1g03770"	"Mp1g03770"
"Mp1g03775a"	"Mp1g03775a"
"Mp1g03780"	"Mp1g03780"
"Mp1g03790"	"Mp1g03790"
"Mp1g03800"	"Mp1g03800"
"Mp1g03810"	"Mp1g03810"
"Mp1g03820"	"-"
"Mp1g03830"	"Mp1g03830"
"Mp1g03840"	"Mp1g03840"
"Mp1g03850"	"Mp1g03850"
"Mp1g03860"	"Mp1g03860"
"Mp1g03870"	"Mp1g03870"
"Mp1g03880"	"Mp1g03880"
"Mp1g03890"	"Mp1g03890"
"Mp1g03900"	"Mp1g03900"
"Mp1g03910"	"Mp1g03910"
"Mp1g03920"	"-"
"Mp1g03930"	"Mp1g03930"
"Mp1g03940"	"Mp1g03940"
"Mp1g03950"	"Mp1g03950"
"Mp1g03960"	"Mp1g03960"
"Mp1g03970"	"Mp1g03970"
"Mp1g03980"	"Mp1g03980"
"Mp1g03990"	"Mp1g03990"
"Mp1g04000"	"Mp1g04000"
"Mp1g04010"	"Mp1g04010"
"Mp1g04020"	"Mp1g04020"
"Mp1g04030"	"-"
"Mp1g04040"	"Mp1g04040"
"Mp1g04050"	"Mp1g04050"
"Mp1g04060"	"Mp1g04060"
"Mp1g04070"	"Mp1g04070"
"Mp1g04080"	"Mp1g04080"
"Mp1g04090"	"Mp1g04090"
"Mp1g04100"	"Mp1g04100"
"Mp1g04110"	"Mp1g04110"
"Mp1g04120"	"Mp1g04120"
"Mp1g04130"	"Mp1g04130"
"Mp1g04140"	"Mp1g04140"
"Mp1g04150"	"Mp1g04150"
"Mp1g04160"	"Mp1g04160"
"Mp1g04170"	"Mp1g04170"
"Mp1g04180"	"Mp1g04180"
"Mp1g04190"	"Mp1g04190"
"Mp1g04200"	"Mp1g04200"
"Mp1g04210"	"Mp1g04210"
"Mp1g04220"	"Mp1g04220"
"Mp1g04230"	"-"
"Mp1g04240"	"-"
"Mp1g04250"	"Mp1g04250"
"Mp1g04260"	"Mp1g04260"
"Mp1g04270"	"Mp1g04270"
"Mp1g04280"	"Mp1g04280"
"Mp1g04290"	"Mp1g04290"
"Mp1g04300"	"Mp1g04300"
"Mp1g04310"	"Mp1g04310"
"Mp1g04320"	"Mp1g04320"
"Mp1g04330"	"Mp1g04330"
"Mp1g04340"	"Mp1g04340"
"Mp1g04350"	"Mp1g04350"
"Mp1g04360"	"Mp1g04360"
"Mp1g04370"	"Mp1g04370"
"Mp1g04380"	"Mp1g04380"
"Mp1g04390"	"Mp1g04390"
"Mp1g04400"	"Mp1g04400"
"Mp1g04410"	"Mp1g04410"
"Mp1g04420"	"-"
"Mp1g04430"	"Mp1g04430"
"Mp1g04440"	"Mp1g04440"
"Mp1g04450"	"Mp1g04450"
"Mp1g04460"	"Mp1g04460"
